Reference;Value;Footprint;Qty;Obudowa;Operating Voltage;Wartość;Tolerance;Uwagi;Link;Symbol;Cena 1 Sztuka
C1,C3,C4,C5,C6,C7,C8,C9,C10,C15,C18,C22,C23,C34,C35,C36,C37,C38;100nF;Capacitor_SMD:C_0805_2012Metric;18;0805;25V;100nF;5%;;;;
C2;10nF;Capacitor_SMD:C_0805_2012Metric;1;0805;25V;10nF;5%;;;;
C11;47nF;Capacitor_SMD:C_0805_2012Metric;1;0805;25V;47nF;5%;;;;
C12;C 100nF;Capacitor_SMD:C_0805_2012Metric;1;0805;25V;C 100nF;5%;;;;
C13;100p;Capacitor_SMD:C_0805_2012Metric;1;0805;25V;100p;5%;;;;
C14;1uF;Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A;1;3216;25V;1uF;5%;;;;
C16,C17;4,7uF;Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B;2;3528;25V;4,7uF;5%;;;;
C19;4,7uF;Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A;1;3216;25V;4,7uF;5%;;;;
C20,C21;10uF;Capacitor_Tantalum_SMD:CP_EIA-6032-28_Kemet-C;2;6032;25V;10uF;5%;;;;
C28,C29;22uF;Capacitor_Tantalum_SMD:CP_EIA-6032-28_Kemet-C;2;6032;25V;22uF;5%;;;;
C30,C31;22p;Capacitor_SMD:C_0805_2012Metric;2;0805;25V;22p;5%;;;;
C32;2.2uF;Capacitor_SMD:C_0805_2012Metric;1;0805;25V;2.2uF;5%;;;;
C33;4.7uF;Capacitor_SMD:C_0805_2012Metric;1;0805;25V;4.7uF;5%;;;;
J1;Conn_01x06;Connector_Hirose:Hirose_DF63-6P-3.96DSA_1x06_P3.96mm_Vertical;1;Connector_Hirose:Hirose_DF63-6P-3.96DSA_1x06_P3.96mm_Vertical;25V;Conn_01x06;5%;;;;
